landslide_fid,id,time_of_occurrence,damage_description,size_category,trigger,debris_type,material_type,movement_type,metadata_id,aspect,activity,x_coordinate,y_coordinate,severity_name,debris_type_name,material_type_name,movement_type_name,aspect_name,activity_name,data_source_name,trigger_name
"314957","530",2003-08-21Z, ,"1","1","2","1","4",,"0","0",166.987109196105,-45.1348337449051,small,Chaotic,Rock,Translational slide,Unknown,Unknown,Landslide catalogue,Earthquake
"314958","531",2003-08-21Z, ,"3","1","2","1","4",,"0","0",166.980940362527,-45.194061090386,large,Chaotic,Rock,Translational slide,Unknown,Unknown,Landslide catalogue,Earthquake
"314959","532",2003-08-21Z, ,"1","1","2","1","4",,"0","0",166.984173385049,-45.1752822282054,small,Chaotic,Rock,Translational slide,Unknown,Unknown,Landslide catalogue,Earthquake
"314960","533",2003-08-21Z, ,"1","1","101","101","101",,"0","0",166.977538218193,-45.2633571523549,small,Unknown,unknown,unknown,Unknown,Unknown,Landslide catalogue,Earthquake
"314961","534",2003-08-21Z, ,"1","1","2","1","4",,"0","0",166.988648761626,-45.1935604415437,small,Chaotic,Rock,Translational slide,Unknown,Unknown,Landslide catalogue,Earthquake
"314962","535",2003-08-21Z, ,"3","1","2","1","4",,"0","0",166.965282843111,-45.4170031076475,large,Chaotic,Rock,Translational slide,Unknown,Unknown,Landslide catalogue,Earthquake
"314963","536",2003-08-21Z, ,"3","1","1","1","2",,"0","0",166.97187133315,-45.3541890663008,large,Blocky,Rock,Fall,Unknown,Unknown,Landslide catalogue,Earthquake
"314964","537",2003-08-21Z, ,"1","1","101","101","101",,"0","0",166.969614167447,-45.3757254307552,small,Unknown,unknown,unknown,Unknown,Unknown,Landslide catalogue,Earthquake
"314965","538",2003-08-21Z, ,"1","1","101","101","101",,"0","0",166.966278663391,-45.444122214558,small,Unknown,unknown,unknown,Unknown,Unknown,Landslide catalogue,Earthquake
"314966","539",2003-08-21Z, ,"1","1","101","101","101",,"0","0",166.957970823952,-45.5230867017931,small,Unknown,unknown,unknown,Unknown,Unknown,Landslide catalogue,Earthquake
"314967","540",2003-08-21Z, ,"1","1","2","1","4",,"0","0",166.994938898977,-45.1821585490048,small,Chaotic,Rock,Translational slide,Unknown,Unknown,Landslide catalogue,Earthquake
"314968","541",2003-08-21Z, ,"1","1","2","1","4",,"0","0",167.004615275367,-45.1258202452507,small,Chaotic,Rock,Translational slide,Unknown,Unknown,Landslide catalogue,Earthquake
"314969","542",2003-08-21Z, ,"1","1","2","1","4",,"0","0",167.008127244015,-45.1165292117993,small,Chaotic,Rock,Translational slide,Unknown,Unknown,Landslide catalogue,Earthquake
"314970","543",2003-08-21Z, ,"1","1","2","1","4",,"0","0",167.007429668629,-45.1232597762621,small,Chaotic,Rock,Translational slide,Unknown,Unknown,Landslide catalogue,Earthquake
"314971","544",2003-08-21Z, ,"1","1","2","1","4",,"0","0",167.008883268116,-45.1215308101279,small,Chaotic,Rock,Translational slide,Unknown,Unknown,Landslide catalogue,Earthquake
"314972","545",2003-08-21Z, ,"1","1","2","1","4",,"0","0",166.987110482885,-45.3369369989573,small,Chaotic,Rock,Translational slide,Unknown,Unknown,Landslide catalogue,Earthquake
"314973","546",2003-08-21Z, ,"2","1","101","101","101",,"0","0",166.983056361735,-45.3818381828651,moderate,Unknown,unknown,unknown,Unknown,Unknown,Landslide catalogue,Earthquake
"314974","547",2003-08-21Z, ,"1","1","101","101","101",,"0","0",166.982211270008,-45.3899143979715,small,Unknown,unknown,unknown,Unknown,Unknown,Landslide catalogue,Earthquake
"314975","548",2003-08-21Z, ,"1","1","2","1","4",,"0","0",167.015254068315,-45.1092302587208,small,Chaotic,Rock,Translational slide,Unknown,Unknown,Landslide catalogue,Earthquake
"314976","549",2003-08-21Z, ,"1","1","2","1","4",,"0","0",166.991376409179,-45.3389630518525,small,Chaotic,Rock,Translational slide,Unknown,Unknown,Landslide catalogue,Earthquake
"314977","550",2003-08-21Z, ,"3","1","2","1","4",,"0","0",166.989970953773,-45.3524235842984,large,Chaotic,Rock,Translational slide,Unknown,Unknown,Landslide catalogue,Earthquake
"314978","551",2003-08-21Z, ,"1","1","2","1","4",,"0","0",166.991918948352,-45.3398934540438,small,Chaotic,Rock,Translational slide,Unknown,Unknown,Landslide catalogue,Earthquake
"314979","552",2003-08-21Z, ,"1","1","2","1","4",,"0","0",166.993968046784,-45.3386464704596,small,Chaotic,Rock,Translational slide,Unknown,Unknown,Landslide catalogue,Earthquake
"314980","553",2003-08-21Z, ,"2","1","2","1","4",,"0","0",166.986138812277,-45.4135764038328,moderate,Chaotic,Rock,Translational slide,Unknown,Unknown,Landslide catalogue,Earthquake
"314981","554",2003-08-21Z, ,"1","1","2","1","4",,"0","0",167.019055975997,-45.1094275063591,small,Chaotic,Rock,Translational slide,Unknown,Unknown,Landslide catalogue,Earthquake
"314982","555",2003-08-21Z, ,"1","1","101","101","101",,"0","0",166.993094666409,-45.3715325824699,small,Unknown,unknown,unknown,Unknown,Unknown,Landslide catalogue,Earthquake
"314983","556",2003-08-21Z, ,"3","1","2","1","4",,"0","0",166.997644911206,-45.3401905832312,large,Chaotic,Rock,Translational slide,Unknown,Unknown,Landslide catalogue,Earthquake
"314984","557",2003-08-21Z, ,"1","1","101","101","101",,"0","0",166.97858386967,-45.5223536174031,small,Unknown,unknown,unknown,Unknown,Unknown,Landslide catalogue,Earthquake
"314985","558",2003-08-21Z, ,"2","1","2","1","4",,"0","0",167.022486873806,-45.1132143173776,moderate,Chaotic,Rock,Translational slide,Unknown,Unknown,Landslide catalogue,Earthquake
"314986","559",2003-08-21Z, ,"1","1","2","1","4",,"0","0",167.016434100713,-45.1778612622137,small,Chaotic,Rock,Translational slide,Unknown,Unknown,Landslide catalogue,Earthquake
"314987","560",2003-08-21Z, ,"1","1","2","1","4",,"0","0",167.017440370649,-45.1743044880895,small,Chaotic,Rock,Translational slide,Unknown,Unknown,Landslide catalogue,Earthquake
"314988","561",2003-08-21Z, ,"1","1","101","101","101",,"0","0",166.991477313414,-45.4237778492627,small,Unknown,unknown,unknown,Unknown,Unknown,Landslide catalogue,Earthquake
